File Name,Skills
10554236.pdf,"accounting, general accounting, accounts payable, program management"
10674770.pdf,"accounting, accounts payable, accounts receivable, adp, advertising, ar, balance sheet, balance, bank reconciliations, benefits, billing, billings"
11163645.pdf,"accounts payables, accounts receivables, accounts payable, accounts receivable, administrative functions, trial balance, banking, budget, bi"
11759079.pdf,"accounting, balance sheet, budgets, client, clients, derivatives, drafting, equity, financial, financial accounting, financial statements, fixed assets"
12065211.pdf,aderantcms financial reporting
12202337.pdf,"internet and microsoft office  ms word, ms power point, ms excel, pivot tables, spreadsheets"
12338274.pdf,"d, accounting, accountant, accounts receivables, adobe illustrator, adobe photoshop, pagemaker, audio editing, auditing, banking, book"
12780508.pdf,superior attention to detail
12802330.pdf,"accounting, accounting systems, ad, analytical skills, auditing, automation, billing, budgeting, budgets, budget, business operations, business"
13072019.pdf,business writing organized and detailoriented
13130984.pdf,budget forecasting expertise general ledger accounting
13294301.pdf,microsoft office data entry
13491889.pdf,full accounting cycle auditing
13701259.pdf,microsoft wordexcel
14055988.pdf,grant management
14126433.pdf,"account reconciliations, accounting, accounts payable, accounts receivables, accruals, ad, ap, balance sheet, balance, bank reconciliations, billing"
14224370.pdf,quick learner
14449423.pdf,time management
14470533.pdf,"training, fairbanks, ak"
14491649.pdf,"account reconciliations, accounting, accruals, ad, as, balance sheet, balance sheets, budgets, budget, controller, corporate finance, erp"
14496667.pdf,able to retain the confidentiality of paperwork and information
15289348.pdf,"internet accounting, finance and tax research  lexisnexis, cch  ria"
15592167.pdf,communication skills  taking initiative in communication among team members by interacting with people from diverse cultural
15821633.pdf,"accounting, administrative, agency, audit report, backup, bank reconciliations, basic, billing, budgets, cash register, cashier, catalog, clerical"
15906625.pdf,years of experience in accounting  bookkeeping
16237710.pdf,invoice coding familiarity complex problem solving
17306905.pdf,power user of microsoft excel epicor netsuite quickbooks hyperion great plains sage intacct
17407184.pdf,"accounting, billing, change management, contracts, client relations, database, delivery, eclipse, finance, financial reporting, financial statements"
17556527.pdf,"accounting, accounting software, accounts payables, accounts payable, accounts receivables, accrual, administrative, administrative support"
18132924.pdf,analytical reasoning effective time management
18365791.pdf,accounts receivable professional
18569929.pdf,"accounting, accounts payable, accounts receivable, accruals, acquisitions, billing, closing, consulting, contracts, controller, credit, customer"
18635654.pdf,"accounting, accountant, arabic, balance sheet, bank reconciliations, com, resolve customer complaints, customer service, databases, delivery, email, english, expense reports, financial, financial and accounting, financial statements, forms, general ledger, lecturer, excel, office, microsoft"
18669563.pdf,"accounting, accountant, administrative, army, agency, backup, book, budget, business administration, cash flow, contracts, dc, documentation"
19446337.pdf,financial statement analysis general ledger accounting
19545827.pdf,"accounting, sales, inventory, payroll, the accounting, reconciliations, bookkeeper, audits, operations, ap, ar, assembly, closings, contracts"
20082776.pdf,"attention to detail goal oriented accounts payable, receivable, manager"
20253563.pdf,resultsoriented
20345168.pdf,general ledger accounting
20393721.pdf,"quickbooks, sage, lacerte, and intuit proseries wellrounded on the applications and functions, microsoft suite word advanced, excel"
20624984.pdf,"account reconciliations, accounting, accounts payable, accounts receivable, ap, balance sheet, bank reconciliation, banking, billing, book"
21031285.pdf,"account reconciliation, accounting, accountant, accounting system, ar, budget, business objects, closing, contracts, financial, financial analysis"
21338490.pdf,"account reconciliation, accounting, general accounting, accounting software, accounts payables, accounts receivables, ap, arabic, balance sheet"
21763056.pdf,"account reconciliation, accounting, accounts payable, accruals, accrual, balance sheet, balance, balance sheets, bank reconciliation, benefits"
21853199.pdf,analytical reasoning strong organizational skills
22465498.pdf,financial management
22925443.pdf,budgeting
23139819.pdf,"accounting, accounts payable, adp payroll, ad, ap, audit reports, balance, balance sheet, bank reconciliations, bank reconciliation, billings"
23246831.pdf,"account management, accounts receivables, administrative functions, administrative support, billing, billings, billing systems, clarify, hardware"
23387174.pdf,managerial aptitude
23416654.pdf,advanced excel skills
23438112.pdf,strong communication skills
23513618.pdf,work history
23636277.pdf,"accounting, accounts payable, accounts payable, accounts receivable, acquisitions, adobe, approach, auditing, trial balance, balance, balance"
23734441.pdf,work history
24103168.pdf,"it excel, access"
24294778.pdf,meticulous attention to detail
24703009.pdf,complex problem solving
24799301.pdf,"accounting, cpa, local area network, peachtree accounting, reporting, web site"
24817041.pdf,"account reconciliations, accounting system, accounts payable, process payroll, spreadsheets"
25067742.pdf,"general accounting, accounts payable, accounts receivable, microsoft office, outlook, windows xp, word, excel, quickbooks enterprise"
25127518.pdf,billing and collections ms office suite
25462793.pdf,"account reconciliations, accounting, accounting systems, accounts receivable, accruals, ap, ar, attention to detail, bookkeeping, budget, cash"
25547145.pdf,experience
25749150.pdf,"accounting, accountant, accounts payable, accounts receivable, billing, book, cpt, finance, financial, financial accounting, financial statements"
25846894.pdf,"timberline, mri, yardi, peachtree, peoplesoft, onesite, quickbooks microsoft word and excel"
25862026.pdf,"account reconciliation, accounting, general accounting, accruals, ad, agency, balance sheets, billing, budgets, budget, charts, compliance"
25867805.pdf,"account reconciliations, accounting software, accounts payable, bank reconciliations, filing, financial reports, financial statement preparation"
25935030.pdf,accomplishments
26065877.pdf,microsoft ax dynamics
26975573.pdf,"lawson, invision, quickbooks, ms word, excel, powerpoint, lotus notes, and meditech"
27558837.pdf,"accounting, accountant, accounts payable, balance sheet, budget planning, cms, controller, credit, data mining, senior management, finance"
27573855.pdf,accomplishments
27980446.pdf,"microsoft office excel, outlook and word, sage, ramp wms software and syspro erp program"
28298773.pdf,"sap, great plains dynamics, sage, quickbooks pro, act, microsoft word, excel pivot tables and vlook up access, powerpoint"
28359817.pdf,"accounting, accounts payable, accruals, ap, as, automotive, trial balance, balance sheets, bank reconciliations, benefits, budget"
28614791.pdf,microsoft office  advanced knowledge and skill
28939941.pdf,"visual basic net, accounting, photo, advertising, arabic, budgets, business administration, conferences, databases, english, exhibitions, fast"
28969385.pdf,compliance testing knowledge sec and call reporting proficiency
29050809.pdf,monthend close activities  reconciliationsanalysis
29456173.pdf,"account reconciliation, accounting system, ar, budget, business objects, closing, contracts, financial analysis, financial controls, financialoperations, financial reports, financial statements, gl, grants, inventory, invoicing, ledger, macros, access, excel, microsoft office, office"
29821051.pdf,usgaap principles
29999135.pdf,selfmotivated conflict resolution
30304575.pdf,accounting and financial reporting powerful negotiator
30361788.pdf,creative problem solving skills
30813919.pdf,good communication
31602598.pdf,computer applications
33527446.pdf,excel spreadsheets professional and mature
34198885.pdf,experience
34816637.pdf,"income statement, balance sheet, budget expense vs actual expense, when necessary prepare income statements for special events yearly"
35554162.pdf,oracle accounting
36024962.pdf,"accounting, ap, ar, balance sheet, benefits, billing, cash flow, cash management, credit, client, finance, financials, director, payroll, yearend"
36425270.pdf,account reconciliation specialist
37370455.pdf,"accounting, accounting software, accounting system, accounts payable and receivable, accounts receivables, ap, ar, as, balance sheet"
37997506.pdf,"academic, account reconciliation, accounting, accountant, accounting systems, accounts payable, accounts payables, accounts receivable"
38847011.pdf,qualifications
39115899.pdf,"accounting, approach, as, auditing, bank reconciliations, competitive, contracts, crm, clientele, clients, customer satisfaction, customer"
39674178.pdf,budget allocation budget analsis
42487883.pdf,corporate ga and cogs accounting
43685045.pdf,"credit, purchase orders, accounts payable, file, million, sales, sales and, sales tax, tax returns, collections, litigation, loans, team lead"
49204385.pdf,problem solver sec and call reporting proficiency
49997097.pdf,"accounting, ap, auditing, balance sheet, bank reconciliations, billing, budget, business operations, business processes, contracts, clients, decision"
50222417.pdf,"account reconciliation, accounting, accountant, accrual, abc, streamline, adp and payroll, ad, ap, ar, balance sheet, billings, biotechnology"
53640713.pdf,"reconcile balance sheet accounts, account reconciliations, accounting, accountant i, accountant, accounting system, accounts payable and"
59403481.pdf,accounting operations professional
62809577.pdf,"key by touch, accounting software, accounts payable, accounts receivable, administrative, aia, as, billing, billings, controller, draw"
63137898.pdf,periodic financial reporting expert strategic planning
75286906.pdf,"account management, accounts payable, accounts receivable, administrative, adp, ap, bank reconciliation, basic, billing, closing, cms"
78257294.pdf,personal information
78403342.pdf,"accounting, balance, budget, business analyst, call center, cash management, closing, contracts, critical thinking, client, clients, databases"
80053367.pdf,healthcare
87635012.pdf,"microsoft excel, peachtree, peoplesoft, sap, sarbanesoxley, sql"
98559931.pdf,"accounting, ap, attention to detail, bank reconciliation, interpersonal, data entry, fashion, finance, general ledger, leadership"
10186968.pdf,sensitive
10818478.pdf,administrative
11174187.pdf,"care planning, case management, home health, hospice, infection control, injections, nurse manager, oncology, scheduling, staff development"
11188218.pdf,in oral and written formats
11773767.pdf,"account management, agency, benefits, billing, cisco, coach, coaching, com, counseling, client, client relations, customer relations, customer"
11963737.pdf,data analysis business artifacts documentation
12171093.pdf,"filing, professional and friendly, careful and active listener, multitasking"
12544735.pdf,"allergies, attention to detail, cpt, clients, emotional support, forms, home health, hospice, icd, ids, insurance, leadership, law, medical"
13072354.pdf,"conflict resolution, advocacy, group facilitation, program development, youth advocacy, outreach, microsoft office, training, counseling"
13115648.pdf,client relations creative problem solving customer service
13342150.pdf,maintains strict confidentiality
13593241.pdf,"academic, administrative, aims, approach, arts, art, book, council, critical thinking, database, essays, special events, leadership, leadership"
13809698.pdf,phlebotomy knowledge sharp critical thinker
13909762.pdf,"greet, telephone customer service, cash, credit, sales, vouchers, optical, payments, training, inventory, pricing, billing, forecasts, greeting"
13967854.pdf,creative problem solving
14064815.pdf,strong interpersonal skills
14146106.pdf,filing and data archiving
14176254.pdf,"quality analysis, training, teaching, mentoring, coaching, life coaching, advertising, agency, coaching, customer satisfaction, customer service"
14445309.pdf,"training, liaison, federal government, public policy"
14708590.pdf,"healthcare claims authorization, computerized and paper claims submission people skills advanced problemsolving, great organizational skills"
